,Values
Beta,0.9629405436835352
Ratio Informacion,0.034006921392488766
Ratio Treynor,0.0014754058108976057
Ratio Sortino,0.3065601497655824
Bull Beta,0.887243334765261
Bear Beta,1.1055401125614368
